"JPM","2026-03-20-20.00.00.000000",+0000000000000286.56,"EQUITY",-000.49
"COMP","2026-03-20-20.00.00.000000",+0000000000021653.71,"INDEX",-001.98
"SPX","2026-03-20-20.00.00.000000",+0000000000006506.48,"INDEX",-001.51
"MSFT","2026-03-20-16.00.00.000000",+0000000000000381.87,"EQUITY",-001.84
"B500","2026-03-20-20.00.00.000000",+0000000000002346.58,"INDEX",-001.55
"FTSE","2026-03-20-20.00.00.000000",+0000000000009918.33,"INDEX",-001.44
"OIL","2026-03-20-20.00.00.000000",+0000000000000098.23,"COMMODITY",+002.80
"GOLD","2026-03-20-20.00.00.000000",+0000000000004609.60,"COMMODITY",+000.67
"US10Y","2026-03-20-20.00.00.000000",+0000000000000004.38,"BOND",+000.13
"EURUSD","2026-03-20-20.00.00.000000",+0000000000000001.16,"FX",+000.15
"GBPUSD","2026-03-20-20.00.00.000000",+0000000000000001.33,"FX",+000.67
"CHV:GR","2026-03-20-16.56.00.000000",+0000000000000174.90,"EQUITY_EUR",+000.62
